[kWh],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1058x1060,3433020.1706142365,323811.3947192116,304478.23683774006,339163.4316508516,321736.8796492057,307260.2048801017,272460.4814219338,259077.199307649,246401.34115168714,235142.70566699744,255986.67405987208,267268.84959652915,300232.7716724568
1065,157809.64051613328,14444.648417328472,13772.684346079384,16362.586817899139,14842.533675327697,14546.778944135385,12856.68081515951,11737.055808345609,12097.562551617139,10115.410208602105,12059.090867261679,11918.642955070452,13055.965109306706
1345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1380,268024.2486391246,25277.35223211695,23781.12974196268,26475.628505495966,25092.73201408382,23951.916831128365,21284.877710247703,20221.86793515628,19183.40535065657,18418.563676423782,19955.00067113268,20879.446283302394,23502.327687417466
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1631,163934.94013437894,15460.684344320956,14545.550742026564,16193.611725420571,15347.768938103985,14650.020632201122,13018.735298824024,12368.548759107915,11733.364027640117,11265.56679059664,12205.320470250066,12770.764581309923,14375.003824577056
1657,163934.94013437894,15460.684344320956,14545.550742026564,16193.611725420571,15347.768938103985,14650.020632201122,13018.735298824024,12368.548759107915,11733.364027640117,11265.56679059664,12205.320470250066,12770.764581309923,14375.003824577056
1676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1690,129571.95677084953,12219.917957693437,11496.620304782158,12799.213397332234,12130.669854888807,11579.163176679049,10289.830698722386,9775.94528598165,9273.896268092009,8904.147072425476,9646.919459975583,10093.83548515859,11361.797809118145
1691,132890.19280557492,12532.859242083126,11791.032202059589,13126.993102866178,12441.332834331044,11875.699663144147,10553.344790457139,10026.292223477218,9511.391659549925,9132.178789745562,9893.969711694295,10352.330002678667,11652.768583488025
1692,92731.59502154366,8745.508287755903,8227.856343610552,9160.094263368876,8681.637018623493,8286.934576579755,7364.191877125865,6996.408531649622,6637.106884766226,6372.494403808517,6904.072198636517,7223.916648252038,8131.373987366295
1800,207050.26733940144,19526.883171919573,18371.080218818563,20452.552619439637,19384.277383532102,18503.011011851202,16442.703703421488,15621.515458618076,14819.283400280527,14228.446471454,15415.351852296886,16129.524914262067,18155.63713350734
all,4748967.951975621,447479.932716751,421009.7414791061,469927.7238080948,445005.6003062006,425303.75034802186,377289.581614716,358193.3820690933,341390.7153219298,324845.0798706502,354271.71976136987,369408.0750478732,414842.6496318149
