[MWh],Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,55055.7861642044,4488.675351,4060.130481,4669.810434000001,4467.189887,4725.485867522246,4811.50736841998,5022.151691648407,5216.517857035989,4273.1079690442,4723.815604516579,4284.842596,4312.551057017003
1058x1060,6652963.38772119,562991.5416012611,508662.2013172681,567756.6176012611,548203.49253993,567756.6176012611,548492.9468850684,568535.2933957989,572759.8638969592,538673.34053993,567756.6176012611,543148.3891399301,558226.4656012612
1065,243517.87772197952,19024.569269527878,17731.947088366345,19857.635529521056,20108.909748742924,21899.371710647385,21371.994631892605,22005.80874482162,23121.145963498206,19721.66692462691,21416.983492029627,18565.256172376583,18692.588445928344
1345,10678.845785949403,744.9019420000001,687.5567650697219,755.5362600000001,761.997118,861.4954797191501,1129.9574312737266,1398.0315937483515,1113.9544901169643,917.3787068133045,822.100385208184,721.489071,764.446543
1349,60741.69873771768,4853.224562228675,4380.042874999999,5073.715368100119,4873.172897428914,5348.581454973965,5406.748523802435,5562.784394739722,5876.663955795081,4742.146660245891,5323.239191645172,4627.70759510012,4673.671258657589
1359,328470.21355607733,26045.947729134496,24082.773783220524,27634.834974363497,27384.426334745167,29043.38017089992,28495.316247246323,29573.52663571644,30434.087372797374,25732.122419090483,28907.941559240728,25586.204373620767,25549.651956001624
1380,802479.1661547053,65014.97143148085,58813.9184907631,65760.58079649543,65147.80506939236,69006.57409103343,69499.75435744906,74356.59029258069,70892.81775989525,67116.84511535914,68086.22439870052,63491.192093637364,65291.892257917985
1500,2795968.9911130075,228247.957381528,208327.80991158978,241557.39277816392,231113.96825564848,242532.41281215037,240181.00198717968,254107.5170363564,257250.94969302864,210766.02003092656,241711.97303674417,220402.833124167,219769.15506552497
1560,125878.39953165066,9757.041192281104,8761.448846080315,10354.72592434693,10225.110062190244,11230.20132552771,11699.476224057598,12309.561020973822,12116.149910429813,9812.68555420752,10890.174347376545,9321.817687321261,9400.007436857795
1569,272086.5722639704,22172.730910101174,20400.627358985235,22903.497695091057,22517.918535738587,23212.422971315293,23163.904124620833,23976.530846552472,23908.63563210428,22550.526667761696,23096.505689855352,21543.04186279847,22640.22996904594
1631,209326.60369858754,16987.771683079143,15449.129465945884,17276.524232782296,17240.652877222194,18099.93492162617,17781.128034614732,18706.34073560175,18282.302570040312,17510.890272951096,17985.428352591654,16842.186775150665,17164.313776981646
1657,208902.57010260748,16933.24833300155,15361.104526958557,17229.28035738848,17230.19797022683,18089.294721056824,17749.872056246997,18746.80629226445,18245.431384019583,17495.83921328361,17960.060475736376,16772.03653995615,17089.3982324681
1676,26370.198251626316,2013.8678811999998,1851.8079239999997,2133.6025836,2041.3087242155498,2183.4607180418543,2445.040756865002,2832.293437732965,2473.991738034137,2173.0515494349083,2158.895310808604,1919.4488812,2143.4287464933004
1690,209128.83513357255,16879.91159890521,15224.90934784885,17187.704242889842,17174.527935511534,18175.692755326567,17982.821881265576,18823.499304612196,18441.142608481307,17673.0276585897,18029.955572758336,16581.171918932538,16954.4703084509
1691,215457.03918077602,17348.231552066245,15639.559772542008,17696.789779369155,17717.51024619711,18766.70738380566,18585.558745140523,19272.76136094459,19060.42090220349,18249.284685317387,18601.866590325546,17072.62166317852,17445.726499685792
1692,151018.0177876081,12174.519568791711,10935.454600088575,12297.35237529606,12261.678645441058,13065.411717421885,12984.593204178978,13883.86189593453,13392.149656048832,12760.655750234364,13003.230763295254,11999.036647708395,12260.072963168455
1800,330632.3151893581,27025.711343211908,24305.45328288762,27305.91073353619,27075.80020979626,28565.065906292664,28066.181064357115,29412.544047044023,28881.34755165009,27711.94543611313,28457.73050433304,26601.950886408347,27222.67422372767
all,12698676.51809459,1052704.8233307991,954675.8758376146,1077451.5116662052,1045545.6670574273,1092562.1116086221,1069847.8035236793,1118525.9027270712,1121467.5729421384,1017880.5351539298,1088932.7428764268,1019481.2270284863,1039600.7443421882
