,solution,type,capacity_elec,capacity_gas,lcc,lcc_year,co2,investment,imported_energy,pv_production
Solution 1-futu2-gas_multi.xlsx,Solution 1,Gas,8.694562714541503,7.311646340000001,106.29456781044725,6.464140856085019,156175.70637471334,27.70692016423382,38.23752989016059,0.0
Solution 2-futu2-gas_multi.xlsx,Solution 2,Gas,8.269729439544866,7.311646340000001,108.67148001337321,6.6086891203919995,145064.37587237483,38.749620562348916,34.171284413941066,4.165749679
Solution 3-futu2-gas_multi.xlsx,Solution 3,Gas,7.309510135090057,7.311646340000001,113.60802845518567,6.908897730559813,129915.59744837345,54.38338085850937,30.105038937721197,8.694155672
Solution 4-futu2-gas_multi.xlsx,Solution 4,Gas,8.674933507375004,7.311646340000001,125.8131551418112,7.651133760997441,114727.72699520332,77.44356880424553,26.03879346150113,15.353418173
Solution 1-futu2-a2w_multi.xlsx,Solution 1,AW HP,9.189249894697339,0.0,106.5292605783603,6.478413336240355,109507.7465115828,31.643838449384837,36.531199440599345,0.0
Solution 2-futu2-a2w_multi.xlsx,Solution 2,AW HP,8.409749336774535,0.0,108.44170864731109,6.594715927730178,102699.0125007771,38.9427095353448,34.007133150707155,10.28172348
Solution 3-futu2-a2w_multi.xlsx,Solution 3,AW HP,8.160234671007888,0.0,110.90406735365805,6.7444604898833305,95717.39530155316,46.759930043044605,31.483066860814752,12.860902677
Solution 4-futu2-a2w_multi.xlsx,Solution 4,AW HP,7.567798965028053,0.0,116.70722751009023,7.097370760222763,83587.20459308782,59.9031417417583,28.959000570922043,15.353430785
Solution 1-futu2-w2w_multi.xlsx,Solution 1,WW HP,7.065405220720819,0.0,119.46465957416702,7.2650597553467975,94688.16148904593,53.627130161866965,23.20701319590146,0.0
Solution 2-futu2-w2w_multi.xlsx,Solution 2,WW HP,6.561491264353099,1.387778780781446e-17,121.85637000159248,7.410507950944297,82333.24693049725,65.55657947941319,18.748753272649736,4.495799458
Solution 3-futu2-w2w_multi.xlsx,Solution 3,WW HP,6.077980158695913,1.387778780781446e-17,127.21223613126054,7.736216722160604,66281.60662948688,82.27349378457468,14.290493349398426,9.489081169
Solution 4-futu2-w2w_multi.xlsx,Solution 4,WW HP,4.745721917518932,1.387778780781446e-17,149.46048714627588,9.089209930798127,48103.14929437819,113.58839525590268,9.832233426146686,15.353416335
Solution 1-futu2-ets_multi.xlsx,Solution 1,TEN,6.19510322974104,2.914335439641036e-16,117.66398449806852,7.155554466716248,87120.64189318556,58.30813499396032,21.584651767239468,0.101314917
Solution 2-futu2-ets_multi.xlsx,Solution 2,TEN,5.637448368667783,,120.07134696386132,7.301954516983047,75300.99146437472,69.91921077636874,17.250058779610175,4.480542917999999
Solution 3-futu2-ets_multi.xlsx,Solution 3,TEN,4.731817237308442,4.440892098500626e-16,125.4935307010686,7.631696291627492,59034.00137290141,86.4256234988668,12.915465791980912,9.259764045
Solution 4-futu2-ets_multi.xlsx,Solution 4,TEN,4.306220737039215,,145.06966144443368,8.822188610744961,41455.984457414736,114.64067484574791,8.580872804351715,15.353414162999998
