bldg_no,Annual,January,February,March,April,May,June,July,August,September,October,November,December
1045,83.9771615600992,69.81127983536442,76.3409025767392,56.51816366376312,49.39331364286715,37.78857972499386,0.0,0.0,0.0,5.256697992053086,45.88085724451093,66.70238225724486,83.9771615600992
1349,163.21096835946454,162.32735917790058,163.21096835946454,156.69365460171355,141.68900356432997,39.01889194529419,0.1030897893463988,0.0,0.0183196947840974,17.98796767543672,110.27589121437502,156.6977575962548,161.02114155858695
1380,555.113767246498,425.0497195017089,506.09558453311735,355.89374650879125,256.8527335614989,162.86455839176682,74.98603516500779,0.0,25.539499821519737,110.72575525872018,242.2322986558004,347.0371397204454,354.5983725179081
1539,42.27872110832433,37.9573886432628,42.27872110832433,29.92841446809658,19.97431525417172,11.076473370686214,3.755382982302612,0.0,0.0,3.391418059389088,15.877797582867304,27.543607505197617,31.042670557087018
1560,296.52634620716253,275.5758699374176,296.52634620716253,247.62070277262788,153.61640869576942,13.76059378537001,0.0,0.0,0.0987341675698139,1.8079317918187463,225.0583357902456,261.15413719593147,269.883844224537
1569,68.88898527669717,55.50355172791754,68.88898527669717,43.90028316523755,27.752625769970887,6.967500180238689,0.0,0.0,0.0,0.0,23.331297466518095,43.176104628705374,48.02936102893725
1631,227.66813338952485,164.82637592456587,197.68667306343056,126.74238059260136,94.0283259020287,45.90899206422242,14.901695181501823,0.0,6.284586045950023,36.68751183274319,82.82685773335342,128.62829272638712,130.1077153295496
1657,231.02614135050652,167.22926537055025,201.04468102441223,128.06676861631198,94.9828582749487,46.15546480773661,14.818550927833602,0.0,6.44299094234648,37.22734868595739,84.42556024925106,130.63817390952664,131.71755454491637
1676,126.20254373938717,106.71595730775566,126.20254373938717,87.64494560894595,65.02542977402464,39.61148158546743,0.0,0.0,0.0,2.667172116518012,62.6398315193213,85.06621353976476,96.00157320533552
1690,191.98802394507618,140.15155289551257,168.2910617436203,104.51733837571824,76.62781912358865,35.71598133958083,10.148170855726404,0.0,4.62457306876443,29.38183698099317,70.47801644831898,110.423892088899,110.60911298533296
1691,197.69402914650092,144.44680203813323,173.39020474528903,108.29590327717898,79.6942214011023,37.58782606351084,11.358349095670697,0.2680711998504165,5.504548169448985,30.72351619598481,73.22555743576909,114.27425939483176,114.3618876353915
1692,169.26751583023216,127.75523410221498,152.30813957918517,100.00287209617888,75.59269221503678,39.13758571595204,15.187527365508236,0.1488232318584631,8.84602692385018,31.18510308187643,66.73432700045895,100.64000853422866,101.91809133383076
1800,239.3578579086099,168.60288932875596,201.49102821629347,129.13384026807796,90.36435177668456,43.246441677984095,10.139466645878162,0.0,2.6541392474287413,25.28218344957508,74.52825820261877,129.68803760218654,129.85538116526217
3500,668.4041871645436,668.4041871645436,666.8743563427314,663.8527939341329,635.6066072279524,562.1512820978728,50.47152199410224,0.6656405272699671,0.1747682247690746,374.21654784589856,334.795562435561,423.0187372037858,480.8680295251488
3501,848.4142805311151,842.5821668617543,848.4142805311151,785.9080894054234,512.3057598423512,352.53808311611886,15.17322549882156,0.4338271971096162,16.262775699252845,129.13208184184597,425.3281369884372,581.2448602666595,617.1343396611278
Combined,4033.699154372825,3264.072040378155,3821.891058461225,2803.2066074624095,2139.5142699219437,1371.386824170858,158.8291460320233,0.6656405272699671,59.896364219308595,563.8583974523921,1647.2481508682815,2286.5999422063915,2478.6333921624596
